Chain-Type Quantity Indexes for Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain-Type Quantity Indexes for Value Added by Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: December 19, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,industry,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
63,                Other real estate,30.416,27.399,30.389,31.214,34.287,38.593,43.043,44.056,49.875,45.216,62.935,62.249,60.717,71.218,78.32,84.705,94.132,95.795,93.248,93.925,100,111.894,111.568,110.952,125.977,138.405,144.355
64,            Rental and leasing services and lessors of intangible assets,63.118,70.755,77.56,78.396,86.359,83.867,80.059,75.725,76.191,86.974,82.84,87.512,77.324,76.076,76.683,80.692,83.416,85.298,92.056,98.27,100,105.903,112.241,113.596,123.08,129.064,137.932
65,    Professional and business services,53.046,55.57,58.261,61.645,63.547,64.218,66.305,68.031,71.168,73.248,75.866,79.589,74.335,77.723,81.02,84.866,86.363,90.213,93.361,95.354,100,106.203,111.45,110.886,125.125,135.869,139.37
66,"        Professional, scientific, and technical services",50.456,53.299,56.358,59.343,61.365,62.78,63.796,66.109,68.67,71.374,74.268,80.206,75.778,77.927,81.467,85.15,85.859,89.447,93.497,96.419,100,106.673,112.544,113.391,128.791,139.219,144.878
67,            Legal services,96.191,99.945,103.092,106.142,109.2,109.523,113.742,115.102,113.504,114.218,115.52,123.826,108.585,100.542,101.425,98.336,95.76,94.985,97.222,100.697,100,100.949,101.543,95.386,103.759,105.023,102.768
68,            Computer systems design and related services,15.025,18.29,20.902,22.713,23.773,23.099,25.839,29.135,32.897,36.635,41.66,45.25,47.795,53.6,59.713,68.291,70.97,75.79,83.277,91.319,100,114.615,124.698,134.116,156.711,173.676,182.876
69,"            Miscellaneous professional, scientific, and technical services",58.067,59.537,62.159,65.351,67.461,70.4,69.346,70.965,73.572,76.004,78.001,84.333,79.21,82.077,85.032,88.227,88.956,93.231,96.374,97.087,100,105.541,111.608,111.885,127.269,138.861,146.32
70,        Management of companies and enterprises,66.612,68.228,68.411,72.151,75.304,74.483,77.243,72.917,72.989,72.877,71.437,71.858,65.734,70.871,73.832,79.639,83.873,89.451,92.005,93.359,100,106.71,113.913,116.211,128.883,142.651,144.941
71,        Administrative and waste management services,52.503,54.667,57.682,61.847,62.829,62.461,66.777,70.289,76.641,78.487,83.037,83.332,76.567,81.886,84.789,87.672,89.293,92.637,93.9,94.006,100,104.763,107.383,101.925,114.299,124.129,123.522
72,            Administrative and support services,51.164,53.295,56.168,60.653,61.554,60.969,65.428,69.382,75.767,78.206,82.54,82.712,75.492,79.524,83.896,87.122,88.978,92.389,93.726,94.258,100,105.075,108.047,102.297,114.927,125.387,125.447
73,            Waste management and remediation services,67.264,69.771,74.421,74.627,76.547,78.7,81.365,79.887,85.79,80.613,87.675,89.404,87.972,107.665,94.431,93.584,92.657,95.289,95.758,91.397,100,101.604,100.776,98.105,108.067,112.02,105.609
74,"    Educational services, health care, and social assistance",57.016,57.288,59.207,61.255,62.88,65.3,67.964,71.203,72.489,75.356,76.112,81.02,83.748,84.896,86.5,88.097,89.698,91.582,95.191,97.998,100,102.806,106.028,102.604,107.235,112.396,117.72
75,        Educational services,65.615,64.826,67.824,70.279,72.211,72.557,76.114,80.745,79.38,81.349,82.808,88.299,95.416,98.564,99.412,99.828,98.418,99.296,99.381,101.693,100,102.214,104.72,96.197,98.971,105.007,107.218
76,        Health care and social assistance,55.679,56.086,57.857,59.843,61.422,64.112,66.646,69.684,71.341,74.331,74.984,79.796,81.864,82.709,84.425,86.203,88.273,90.317,94.497,97.385,100,102.905,106.248,103.692,108.64,113.652,119.505
77,            Ambulatory health care services,49.517,49.549,50.947,53.46,55.34,58.508,60.353,63.555,66.076,69.766,69.757,74.804,76.431,78.359,81.058,82.681,85.35,87.226,92.15,96.528,100,103.786,108.986,104.23,112.911,119.443,129.961
78,            Hospitals,58.185,58.921,60.804,62.137,63.515,65.897,69.121,72.694,73.456,76.053,77.727,82.94,86.818,85.751,87.386,88.893,89.767,91.732,96.052,97.688,100,102.214,103.69,104.055,106.845,107.808,109.545
79,            Nursing and residential care facilities,78.275,78.231,79.911,80.495,80.905,83.144,85.085,86.627,86.015,87.941,87.998,91.736,92.105,93.87,94.312,95.075,97.054,99.26,100.45,100.495,100,100.572,99.738,98.627,96.187,102.417,103.96
80,            Social assistance,58.438,60.692,64.594,66.812,68.277,69.298,74.184,75.576,77.8,79.085,80.487,83.401,82.986,83.576,80.929,85.951,89.195,92.373,95.007,97.447,100,103.382,108.644,105.117,107.323,117.913,120.874
81,"    Arts, entertainment, recreation, accommodation, and food services",67.45,69.348,73.139,77.445,74.986,76.823,79.066,82.654,82.89,85.167,85.089,83.303,78.258,81.644,84.716,87.099,89.384,92.798,95.785,97.476,100,101.915,104.062,76.482,95.745,103.92,107.062
82,"        Arts, entertainment, and recreation",65.943,66.019,68.507,71.854,67.941,70.866,73.58,76.041,75.976,78.317,79.538,80.616,79.336,83.497,86.018,90.419,91.995,95.842,93.791,96.7,100,104.003,105.774,73.422,91.65,109.414,114.148
83,"            Performing arts, spectator sports, museums, and related activities",55.955,59.569,60.944,63.648,64.382,68.835,72.389,73.194,71.966,75.753,74.544,77.698,78.97,81.094,85.395,91.422,92.464,97.086,93.045,96.516,100,105.72,107.784,74.59,88.634,110.695,117.354
84,"            Amusements, gambling, and recreation industries",79.073,74.847,78.737,82.935,72.953,73.898,75.525,80.209,81.734,82.071,86.719,84.826,79.871,86.986,86.925,89.007,91.338,94.089,94.861,96.968,100,101.524,102.883,71.727,95.561,107.75,110.057
85,        Accommodation and food services,68.038,70.615,74.893,79.562,77.653,79.083,81.149,85.167,85.518,87.771,87.196,84.328,77.885,80.989,84.263,85.91,88.452,91.71,96.484,97.747,100,101.197,103.471,77.531,97.146,102.272,104.927
86,            Accommodation,69.774,71.173,75.262,81.046,74.237,75.453,76.541,82.196,82.149,84.301,85.853,82.651,72.554,76.812,82.292,83.594,87.9,89.84,96.988,96.577,100,100.876,102.613,74.893,96.064,101.619,108.981
87,            Food services and drinking places,67.07,70.175,74.528,78.667,79.058,80.584,83.089,86.367,86.897,89.192,87.63,84.922,80.099,82.721,85.076,86.868,88.677,92.483,96.275,98.216,100,101.327,103.817,78.527,97.639,102.611,103.56
88,"    Other services, except government",104.409,108.823,109.669,112.08,101.195,103.858,101.052,102.366,102.979,103.463,101.235,97.559,91.854,90.412,89.671,91.093,91.976,96.172,97.869,97.946,100,103.209,103.662,93.375,96.367,100.668,95.628
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend/Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
