msa,wage_differential,housecost_differential
371,-0.09349788226009693,-0.06731452634087186
372,0.12505989429363232,0.06638762697381782
374,0.16732103425165498,0.0564466686841999
376,0.16766443846180387,0.027905836134793395
380,0.19649971290175816,0.12565755556947836
381,-0.08104146710209793,0.05866001987075982
384,0.020519748753925968,0.05253008531570057
385,0.22673320865531335,0.0633405784815763
387,0.027850529954964957,-0.0058562348339099525
388,0.030855329701147134,0.054798833090556893
392,0.0737545296384107,0.11280982614673297
396,0.07145329404219578,0.011257230434579261
398,0.024778334151332192,0.21317876693107896
400,0.12445105711015864,0.15789045413255975
404,0.1570372009920263,0.09330525119997973
408,-0.015706142136520548,-0.06090734626060662
410,-0.031122401813426185,-0.12448055935330755
412,0.22093216815812203,0.1779699271724345
428,0.09217717804914542,0.060876994820466185
432,0.06753788189672638,-0.02329824819024838
436,0.023318221510558797,0.02144345544790023
440,0.03832373043341472,-0.016487085910342793
442,0.024714644143119312,-0.038615699105182706
448,0.2987709828887619,0.4791602394002318
452,0.10750129584058345,0.01898251135417022
460,-0.034256282807170524,-0.022260974520097208
464,0.018661857354169406,0.12113580754948175
468,0.10692114874159152,-7.064208778031915e-4
472,0.12326048286688507,0.2101849179309011
476,0.12938834168084934,0.16596182039727825
480,0.059990990048466974,-0.003421725439949532
488,-0.05554173169634913,-0.1231889377021483
489,0.012779624426491663,0.23626532358904714
490,0.0412713851407894,0.1961502796404466
492,0.17708114664496538,0.02779639572319779
494,0.16372121837003328,0.03666741779748045
500,0.15494907562352953,0.35111291451417215
508,0.20158733993030167,0.15326070875285613
512,0.2505265401920199,0.1703310562236554
516,0.019126183138186623,0.03130643670185927
517,0.20106926511287954,0.10708670093136718
519,0.34092438810876063,0.2608591622179738
520,0.011605257288524845,-0.06367144175196703
524,0.02948020707076707,-0.04478317257669095
528,0.03483825715587662,-0.006717178665617567
533,-0.026850662610104367,0.2226346360484487
534,0.14550251930858113,0.4797914094031376
535,0.2539408318971673,0.21099222542157053
536,0.13399993283179779,0.14733260119191513
540,0.16075353216144003,0.03788843399768333
548,0.25662787825875105,0.22785858615186583
556,0.06491364093187801,0.07549192600876133
560,0.34581723432926115,0.4433659440306118
566,0.2568261404332145,0.21991933402548552
572,0.05645949420302338,0.10188295114650388
579,-0.03297613947063653,0.23829420023673076
580,0.03297226413831953,-0.04783771892595607
588,0.03219765203263589,-0.02159044954032525
591,0.16392014723217668,0.24320981077981063
592,0.0991237119299994,0.040165779118291264
596,0.09754586438598513,0.2983661168328928
601,-0.021968593865751306,0.1728102111029319
608,-0.013302571959156661,0.08529084117861999
612,0.12438555733992387,-0.006806775993950233
616,0.2607452737402508,0.16202325454310867
620,0.1959893101628532,0.2696781654815768
628,0.10062306265102074,-2.819832925765973e-4
640,0.05418938875493598,0.14164799629693894
644,0.19756002870555203,0.2915711148380256
648,0.15124143223607983,0.05544751638356725
