Decade,Pop England,Share Males farm sector,Male Farm Wage,Male Non-Farm Wage,Male average Wage,Male Work Days per Year,Total Wage Income,Land rents,Net House rents,Other Capital Income,All Capital Income,Indirect Taxes,Net National Income,Price Index - Domestic Expenditure,Price Index - GDP,Price Index - Cost of Living,Real Net National Income (DE),Real NNI/N
1560,3.210390809,0.664285714,6.154020522,7.368435837,7.780278565,300,11.64676711,2.262468503,0.174563643,2.913824668,3.088388311,0.06721,17.06483393,27.05510732,29.27362612,27.46762247,9.661038703,59.42189449
1570,3.500129637,0.664285714,6.643911695,7.736925996,8.315397659,300,13.57123885,3.111756007,0.287666367,3.687752193,3.975418561,0.06439,20.72280342,29.76859963,32.2096248,30.3658796,10.69446529,60.33308333
1580,3.554059127,0.659003105,6.67289834,8.211912726,8.529185389,300,14.13463324,4.860934571,0.405017014,4.377909259,4.782926273,0.0752,23.85369409,33.14041609,35.8579302,34.11969173,11.05327783,61.41111932
1590,3.554059127,0.677685972,7.131615548,8.385751157,8.939400451,300,17.34019849,4.373247911,0.471944229,4.995356967,5.467301196,0.093216667,27.27396426,41.36183588,44.75350642,43.81386474,10.23709783,56.87648913
1600,4.401069351,0.657180726,7.518842219,9.267399477,9.615144592,300,19.73178492,9.045432294,0.866261476,6.880514323,7.746775799,0.16347055,36.68746356,42.95474774,46.47703706,45.08953383,13.13697089,58.94101372
1610,4.733105818,0.671777678,7.968679341,9.995235501,10.23206192,300,22.58196422,10.21688307,1.355378606,7.776269057,9.131647663,0.270152268,42.20064722,48.6747053,52.66603114,51.41523277,13.27876336,55.39773301
1620,5.017557441,0.667607365,8.313849768,10.36442217,10.65950134,300,24.93914629,10.34631825,1.448542125,8.772478589,10.22102071,0.301075937,45.80756119,49.00335898,53.02163442,51.74147259,14.33401396,56.40999297
1630,5.208954258,0.688962014,8.932209451,11.17883634,11.42608753,300,27.75239267,11.3734066,1.613005365,9.224044949,10.83705031,0.375759341,50.33860892,57.03853641,61.7156964,60.72153366,13.5134031,51.22650937
1640,5.424672218,0.683841204,9.361584185,12.47259817,12.25723686,300,31.00404947,12.21887146,1.496831167,9.926777202,11.42360837,0.378529371,55.02505868,59.06477537,63.90808695,62.65379226,14.41432823,52.46884224
1650,5.612896712,0.665792333,10.11246024,13.8357166,13.44771355,300,35.19555688,12.48614373,1.626634999,10.79913753,12.42577253,0.474991024,60.58246416,59.34526446,64.21157615,62.19023188,15.7934084,55.56091521
