GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
8000,Colorado,7,SAINC51,53,...,Per capita disposable personal income (dollars) 2/,Dollars,1363,1359,1455,1698,1755,1697,1690,1784,1854,2006,2039,2139,2184,2255,2314,2377,2520,2664,2812,2951,3137,3409,3800,4160,4452,4923,5396,5939,6385,6904,7733,8548,9590,10700,11417,12352,13341,13941,14406,14732,15671,16688,17460,18130,19052,19891,20694,21883,22858,23760,25540,26610,28739,29944,30322,31014,31909,33187,34870,36275,37580,36237,36522,38647,40250,41359,44034,44772,44521,47191,50732,53664,56963,62177,65185,69897,72377
9000,Connecticut,1,SAINC51,51,...,Disposable personal income (millions of dollars) ,Millions of dollars,3131.8,3123.2,3486.6,3907.2,4202.8,4594,4743.7,5123,5565.1,5963.8,5773.1,6155.8,6357.5,6754.7,7205.5,7572.6,8289.2,8855.3,9647,10492.9,10935.5,12432.9,13628.4,14585.5,15501.7,16993.4,18527.8,20196.4,21522,23715.1,26123.7,29132,32994.5,36818.6,39695.6,43637.6,48969.8,52173.3,55827.8,60044.2,67374.1,73131.7,75731.8,76713,81343.5,83624.2,85963.2,90072.2,92741.2,97068.7,103886.8,109328.9,118615.1,125846.6,131256,134382.6,141075.9,146014.1,156951.9,166863.3,180625.9,186416.4,191948.2,194389.7,196342,187172.5,195077.7,199677.4,205557.5,210110.4,221036.5,227041.7,233555,246705.9,249485.6,275316.9,289669.2
9000,Connecticut,1,SAINC51,52,...,Population (persons) 1/,Number of persons,2014000,2032000,2016000,2028000,2081000,2168000,2249000,2300000,2316000,2359000,2446000,2523000,2544000,2586000,2647000,2727000,2798000,2857000,2903000,2935000,2964000,3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3580281,3594181,3605215,3610238,3614584,3611891,3607614,3607550,3611229,3607133,3579918,3606607,3617925,3643023,3675069
9000,Connecticut,1,SAINC51,53,...,Per capita disposable personal income (dollars) 2/,Dollars,1555,1537,1729,1927,2020,2119,2109,2227,2403,2528,2360,2440,2499,2612,2722,2777,2963,3100,3323,3575,3689,4144,4485,4764,5050,5537,6024,6547,6974,7678,8441,9398,10598,11767,12646,13799,15399,16298,17318,18491,20591,22273,23005,23226,24644,25270,25923,27096,27794,28981,30870,32285,34766,36660,37949,38568,40352,41636,44621,47307,50944,52338,53613,54085,54461,51845,53970,55283,56979,58242,61208,62942,65240,68404,68958,75574,78820
10000,Delaware,2,SAINC51,51,...,Disposable personal income (millions of dollars) ,Millions of dollars,434.1,480.3,552.3,593,631,679.6,712.5,809.8,955.8,956.9,997.8,1033.3,1083.8,1125.5,1181.1,1278.7,1386.1,1523.1,1610.7,1726.7,1870.6,2026.4,2173.2,2401,2630.4,2906.7,3156.1,3443.1,3709.4,3997.9,4387.8,4781.6,5374.4,5871,6404.2,6920.9,7669.3,8329.9,8849.4,9567.4,10585.5,11753,12392,13253.7,13827.8,14337.9,14864.4,15736.6,16685.3,17251.7,19166.5,20669.2,22975.7,25551.3,27016.5,27861.5,28836.8,29078.3,30756.8,31777.6,32065.8,33163.3,33422.1,35455.8,35844.3,36092,37683.7,39461.6,40638.2,42485.7,45357.3,46448.5,48589.7,52285,55905.3,60661.6,63984
10000,Delaware,2,SAINC51,52,...,Population (persons) 1/,Number of persons,312000,316000,321000,331000,341000,351000,368000,389000,408000,426000,433000,441000,449000,461000,469000,483000,497000,507000,516000,525000,534000,540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899773,908220,916654,925704,935278,944716,953146,961604,971152,981340,991928,1005062,1020625,1036423,1051917
10000,Delaware,2,SAINC51,53,...,Per capita disposable personal income (dollars) 2/,Dollars,1391,1520,1721,1791,1850,1936,1936,2082,2343,2246,2304,2343,2414,2441,2518,2647,2789,3004,3122,3289,3503,3753,3949,4248,4584,5020,5412,5848,6258,6721,7335,7985,9034,9851,10689,11431,12541,13473,14101,15021,16345,17854,18508,19403,19898,20298,20716,21565,22518,22957,25109,26670,29217,32112,33512,34060,34710,34406,35794,36453,36279,37190,37145,39039,39103,38989,40291,41771,42636,44182,46705,47332,48985,52022,54776,58530,60826
11000,District of Columbia,2,SAINC51,51,...,Disposable personal income (millions of dollars) ,Millions of dollars,1627.2,1682.9,1787.4,1838.3,1890.4,1869,1855.2,1831.9,1926.5,1994.9,2021.8,2054.1,2067.1,2208.1,2366,2532.8,2727,2953.8,3053.4,3290,3445.7,3268,3648.3,4114.8,4442.4,4667.5,5074.1,5542.6,5784.2,6265.9,6619.9,6870,7268.6,7688.7,8214.6,8740.4,9513.2,10066.3,10613,11056.7,12262.5,12964.5,13615.7,14407.6,15192.5,15871.3,16116.9,16241.6,16750.8,17330,18239.4,19040.6,20802.5,21629.8,22356.7,22646.5,24563.9,25516.2,26908,28669.4,29810.1,30977.9,33528.2,35780.5,36504.6,36636.6,39080.4,41864.1,44223.5,45919.1,47652.8,48211,51198.7,54885.4,55048.9,60794,63722.5
11000,District of Columbia,2,SAINC51,52,...,Population (persons) 1/,Number of persons,840000,807000,806000,808000,805000,810000,791000,785000,759000,763000,757000,761000,765000,778000,788000,798000,798000,797000,791000,791000,778000,762000,755087,750641,743775,733674,720755,710308,696305,681768,670046,655616,638284,636893,634174,632433,633382,634549,638269,636930,630432,624168,605321,600870,597565,595301,589239,580517,572377,567736,565230,570213,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,604718,617465,630643,644203,653986,665135,673428,680670,685476,687320,670917,669256,676725,687324,702250
11000,District of Columbia,2,SAINC51,53,...,Per capita disposable personal income (dollars) 2/,Dollars,1937,2085,2218,2275,2348,2307,2345,2334,2538,2615,2671,2699,2702,2838,3003,3174,3417,3706,3860,4159,4429,4289,4832,5482,5973,6362,7040,7803,8307,9191,9880,10479,11388,12072,12953,13820,15020,15864,16628,17359,19451,20771,22493,23978,25424,26661,27352,27978,29265,30525,32269,33392,36365,37650,39006,39835,43265,44991,47151,49912,51376,52307,55444,57947,57885,56871,59757,62941,65669,67462,69518,70144,76312,82010,81346,88450,90740
12000,Florida,5,SAINC51,51,...,Disposable personal income (millions of dollars) ,Millions of dollars,2954.6,3103.9,3530.2,3904.3,4384.5,4903,5204.7,5948.5,6839.4,7568.1,8302.8,9134.4,9562.1,10142.4,10940.1,11744,12936.6,14104.4,15442.1,16919.3,19227.3,22087.9,25273.2,28559,32351.3,37875,42742.3,47473.6,51512.6,57522.4,65892.7,75237.2,88366.3,101983.2,109345.7,123882.3,138868,150332,162137.8,174129.4,193253.6,214892.4,230899.8,242796.1,256563.1,271647.4,285667.4,306385,322725.9,339915.3,365875.4,382262.7,412100.4,437155.5,462050.1,492575.7,531753.4,568078.5,614602.2,640772.6,652289.8,631940.5,672161.8,699989.8,720430.1,712530.1,757871.4,802776.3,842025.1,890172.4,964243.6,1023541.5,1086863.5,1196387.6,1237630.6,1378615.6,1458874.6
12000,Florida,5,SAINC51,52,...,Population (persons) 1/,Number of persons,2578000,2668000,2810000,2980000,3157000,3310000,3505000,3747000,4047000,4372000,4630000,4808000,5004000,5243000,5458000,5628000,5781000,5954000,6104000,6242000,6433000,6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18842405,19036879,19268256,19502928,19790139,20140379,20533473,20868335,21131181,21353320,21592035,21831949,22379312,22904868,23372215
12000,Florida,5,SAINC51,53,...,Per capita disposable personal income (dollars) 2/,Dollars,1146,1163,1256,1310,1389,1481,1485,1588,1690,1731,1793,1900,1911,1934,2004,2087,2238,2369,2530,2711,2989,3326,3692,3987,4302,4778,5139,5558,5924,6471,7216,7944,8980,10005,10442,11524,12579,13244,13897,14514,15704,17004,17716,18160,18795,19505,20062,21075,21727,22383,23625,24256,25680,26726,27685,28968,30534,31839,33831,34886,35207,33879,35673,36770,37389,36535,38295,39859,41007,42657,45631,47934,50336,54800,55302,60189,62419
13000,Georgia,5,SAINC51,51,...,Disposable personal income (millions of dollars) ,Millions of dollars,3039.2,3070.6,3550.5,4062.8,4334,4496.3,4501.5,4955.2,5293.4,5454.8,5692.2,6047.5,6278.5,6567.9,7022.9,7631,8320.3,9166,10053.5,10977.1,11973.5,13147,14519.2,16197.5,17928.6,20408.4,22369.6,24632.4,27155.8,29844.9,33645,37197.7,41630.5,46921.1,51106.4,55925.4,63640.3,69236.5,75662.8,80818.9,88838.1,95315.1,102132.5,108018.2,117051.9,123807.2,133113.5,143308.9,153750.9,162652.6,177696,189089.3,204163.4,215668.7,227556.4,238596.7,252658.5,265059.9,280546.2,292649.9,297774.6,299789.2,306298,324492.2,332462.4,333490.4,355074.7,375453.3,392132.8,414875.6,438862,460297.2,494762.3,533913.9,537809.9,583228.4,614881.5
